Crypto,Address identifier,Txid,Vout,Value,Escrow model,Revealed payload,Redeem script,Witness script
BTC,00c45c26c0493dd3f1c51f2ed9ef6421be6cebe5a3,9525c9533873e0fd17d1412e28fa3df2b62f1fdfef46c23fbddb22eab81be9e8,0,4491234,commit_reveal_v1,release_by_seller:0a73b6c8bcdd058ac4bc836de190f8c8db21f9842719e31b6a50d8b619dcd895,002029d73a60ac71f0514da57800860586208cb832525134daaab78d3254ecd15fbb,76518763751457e8fba0a472a292ef2736aa3eb5d69e8ff253f314fdbe164310eb46f5872dccd0ce0c4d194fa472de6776528763751457e8fba0a472a292ef2736aa3eb5d69e8ff253f314bed0c5af755cd968308bba0c823436cc52e6843e6776538763751494c745fd52c7a7ea022dbbbbb982efe718c011e114f52f19398fb98d22ffde758e98b66f3f7d20d7b56754881494c745fd52c7a7ea022dbbbbb982efe718c011e11447cd959eba6e41eb18f5b5bdf971f0f5354c14706868687ba98878a988ac
LTC,00cf296804f32d04de1717bcdb966e7ce5e6fdfd93,883081e2eabfd1faaf546a5188a5759cb0848be643e13c7418be813637325abd,0,216052353,commit_reveal_v1,release_by_seller:95364cbce42f06678a6ecca6c0b8d22f04a1e7832dfa7616064a8241265e73b4,0020705d49c6903a23718b2955e5c91fb311c72d75d245bdd3b442d958cb1fde17a8,76518763751405eef68cd277df8958f3c1df2e6c470ed9a2534e145fa7bd16265ef22fada7314e18a80b6037b810a76776528763751405eef68cd277df8958f3c1df2e6c470ed9a2534e141ae6e2280fd7e8d176576472bbf6038f11e4d537677653876375146d1a1ee69e375a92a6aaae4396c371fc9097d9cb144bd68a4de6c58a80efcd368663a8489127d92a10675488146d1a1ee69e375a92a6aaae4396c371fc9097d9cb14f346ecbb3b02c84f9006d83f07b3f2d614261a576868687ba98878a988ac
BTC,00053b45dde340252b32082375d7783a0b05818f0f,f49e1839ce0e3217d95ad0d4044f9478ffec19d0e66484210b3d4643bbaeab38,0,364023,commit_reveal_v1,release_by_seller:a51d5750fc2d098b2087ae3b5b92c4ca0f7bbf4bc2b4b9fc5e4514fdf2df3549,0020ed48738c3d4e0230285b55bb33b6aee5cef1674b091816c51b56407e8c6b488c,765187637514159c4eb37d0aa45f1eb9eb477b950174b829c03314b0761d573141eb0aad2cf6cb1e8d06e62b50fee667765287637514159c4eb37d0aa45f1eb9eb477b950174b829c03314ae7cfccc87873088ad9f27eb41db4546afdff8e767765387637514607eafdeb310d618059be0c4ac047c4357a8cedb14e7dd7c05bca54ee266441651df2b7c34fafacf2867548814607eafdeb310d618059be0c4ac047c4357a8cedb1489fe856630b5828f4ab0247ede2203ffe9e1aeb66868687ba98878a988ac
BTC,00b74a1e77c1c4a1543ac4ed0ac611670a99892da1,ac541a70bb753a0701b475143687f75c9633e7cdf1b41d8265fcae322beafe51,0,31660002,commit_reveal_v1,release_by_seller:a12b543b77f9948bacf85c37b6310c516ddcdf97622662727754d91e3db2a95c,0020021dfbf63f0b21b2a4c4097f05f2aafde666d7453c15a1878d1c991849f38985,7651876375142ed56a3a521b01f3f17d0f49cfea8467c861791114e078ad0acdc0040e5d8ff1d79acd11a00d27e595677652876375142ed56a3a521b01f3f17d0f49cfea8467c861791114d82d10fc3bc937a6bed00ac8ad5282707d059a71677653876375142d0312732929f822c24e48b43faa0ec7f49f27511484b2e4ddda20c3dec54cded504a1f0225d4c7404675488142d0312732929f822c24e48b43faa0ec7f49f275114f51180cee8a26664490960b36e35aa13b75f1e116868687ba98878a988ac
BTC,005d63461730fcb7722169cfa603faac22c20a96c3,9bfcd3a25426df395b54b3d35c3c0ca055ba0a8dc998420af550f63fef733955,0,312000,commit_reveal_v1,release_by_seller:a3bff439f49e553038677d1b5bc1f628c59f47a6895180d6bcffe8467431a2d5,0020337c13f8c0ac5b26be8ce02a192ba072bde3ae7a49e7adf90ceef021e783c76e,765187637514fc9871462ffa7897709b3f1c5c2749438d8a191a14b5002726fdea6e3ec72f7cb2d42f18e619b959f067765287637514fc9871462ffa7897709b3f1c5c2749438d8a191a141db9893d55253f3649b883346051ef15bd88af1e67765387637514bcb1c00677db7d7bb10c93824b65a998c8f6e8d414c38156c160e344e6f1a223338ceea6d4d40dae1967548814bcb1c00677db7d7bb10c93824b65a998c8f6e8d414871d625f9683d310831d21a228386a827ba13ada6868687ba98878a988ac
BTC,000c66304521ec4a29af04593c0cc95d0bac26a0f8,a9cf64d9c7f3b6fbf67b99558be46a4492201d810cd227ec0a1ee1f22f7883ba,0,40028600,commit_reveal_v1,release_by_seller:df69e90b4b9e66c9b2410679b5aa946d738211aee4fc51b8bb1662a636dd586b,002026fa406dca0269dfc33d0dfb0b61c05cb3513876b7d2ca9e7c804c28e9ab34ed,7651876375140b1d12b838fcf6f3544aa51a603f7e1a029e841614e857977d0a90f8bb2bb4ad2acf863beefcf6abf9677652876375140b1d12b838fcf6f3544aa51a603f7e1a029e841614da0fb964dd285fa9f0a44b1c3f412d8ebcfbcfc467765387637514812c884be79fa6e756e9edac7ff6354fe44fd44b141c7b19f0a4e13b6a8bda21f8d38c71e40560752a67548814812c884be79fa6e756e9edac7ff6354fe44fd44b1495075aa1677730317f2ee40fa77b6b8273e110ff6868687ba98878a988ac
BTC,00f6d66a0835cad03ba23d657d80c4f141faca443f,b4afa9d6dceed990bd78de4b1db82acd395f20aab3c3cf5c2eee3961c7358fbe,0,1390700,commit_reveal_v1,release_by_seller:c97c209431f5951f1cd930282e271ca2d10310c6bbe2ff670345fef5a19185e3,0020eb66fc62e62d3340f6a6526083199f7bdd39822b14599b7b4f9ce76d7bbf5f15,7651876375147603203287c129aa270943d13249206187de22c6142355fded2d5c003e538589b8f57d3f5e730951f9677652876375147603203287c129aa270943d13249206187de22c61454b70a534928354ceef10fe163140dade1ee46c36776538763751474e82e4221377d9df96c08b727c6da31dae7c2611458110ea4594dc118c497ef47b4bebcc95e89474e6754881474e82e4221377d9df96c08b727c6da31dae7c26114b038346794e34666695ca6b90b6c00627549cec26868687ba98878a988ac
LTC,00f749b2b8fd98e515f83479a25329b788f192c067,b1fc27a684099e669cbc2bb2384d1669bb74f375507afd740e420075ce83d880,0,140580000,commit_reveal_v1,release_by_seller:465fa476be54770e9e7dc9555e6254c17ad11ddec0c0ec9e9e25e62a4888eae8,00204f11c96f9ec0fa170a8b1f55bb4bff33d81a51926c04b320a45f08cba98c6b1b,7651876375141454a53349d6631794c2b33218b24795822fa8a6149c5c8e9b70445d1f75c56c55df7af830ecca04b0677652876375141454a53349d6631794c2b33218b24795822fa8a614cbefadaec56987747b2c24ce386823a4efb88f8b6776538763751404e761693eb5cf624c0bf8acaed678e881731abc14e5e3ca1da514bf2679b0fe146f2dd6d0f9f50ff26754881404e761693eb5cf624c0bf8acaed678e881731abc14be21ae48754ed98145c6b2b0c7fda91f567b27a26868687ba98878a988ac
BTC,009265068560e541c6f62cba53127793644e249060,42e7fd41dd980cffab253c96d842cb56991020d3ccd87332ad4f8cd50e8f4547,0,1490100,commit_reveal_v1,release_by_seller:ccbe0ed8df5508e16b13c54ec80225983fd89f42361591e45ef35d3eea69a503,0020ca9a6d8d32d43451db363baa7bf31bd03384205c0826005c02f92d96456f6485,7651876375141e03713d5a1f594ac49b60523eb063b4e1cb42f814f349f5bfa2966cad706fe7234813796f61612bc8677652876375141e03713d5a1f594ac49b60523eb063b4e1cb42f814f0bf09100e6ca3ae5325e312fccd5c3e494faa306776538763751474e82e4221377d9df96c08b727c6da31dae7c26114d69b5dce0ce2b3c77b5b3c48388002d8cf4f76ac6754881474e82e4221377d9df96c08b727c6da31dae7c26114b4ccd68c7e93a0875c98ae75432823c0a0913e2d6868687ba98878a988ac
BTC,00959abf254ddaf49175c8083de1f1235b0b83e2ea,dcdd9473750f8c030833d348810e51a8c48e428ddd951c39cc354821e7da9a68,0,4419756,commit_reveal_v1,release_by_seller:6f13551907f3046b60c7f0b44c71bdfd16ec9be8280f8e84173bec3726da20e9,00202b9c57e8928e872ea3a174b08f35940e883543040ded4f34f0d6ea8cb3f773fa,76518763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d1483d99affa2f572f37242467bdfc3762d7b5ad1f36776528763751422ba45d9ad06ed2f75c9dc5d76ad5a31aebd040d142f937e1b5decf57f9cfdcc555ec9d7c29aea17d767765387637514c0c2963b40723a5c45b78ef058062e21b337bed414fab4eada3f8ae1c540d1f2bb65fa332d9a04347067548814c0c2963b40723a5c45b78ef058062e21b337bed41452b521ac4e53c9171d4c10284ee2da292613e00e6868687ba98878a988ac
BTC,00a0ad8b5ca3a5bd9bafccb55afea7d6f77c24d6d1,c3db045cc88054597b048eb50b656bdff04f1aadf70deb8ea067a006052ce74c,0,705500,commit_reveal_v1,release_by_seller:a83d147ad1aa31425923eef2bb970df7a66afd4d4a89e41b76e2bc79b6ad49f1,002083b593502fcf49d9669198791d65e8a28c64e5f35735bb709f8bd2fa232dcbae,76518763751413ff42f42bab5ac5d5156c3ff8aee3405c9f723b1437c6744a3a576181d01f5db955fc7ef8aacbc4536776528763751413ff42f42bab5ac5d5156c3ff8aee3405c9f723b14b5daca71f954d2400ed018ccf44691baa9c5192e67765387637514c094793949f8a793948bf7f8eac5703e11e66bdf141fddedf7e72a8255e52fbd527ae854415911aa3c67548814c094793949f8a793948bf7f8eac5703e11e66bdf1487a84e6559aeff4e6029295acaa14859c2aca0256868687ba98878a988ac
LTC,002ec6f1835271a9d1d9c26c7163293c5fa2fee089,46f0b84044b126272edb3af7f9478c70d96dfc944c804e336c18cd684e636a25,0,109054836,commit_reveal_v1,release_by_seller:837122f61a97cfb958b30695ac7e1d9e3d218e8371539f52a1084a0f5d5a9fe1,00203d2f185e91fb9976f66ccd3bb0fb00021592a2b12a272ee5216699d994b0b36a,765187637514b5bb88514a43ac64ea35a689274d093d7ff165c7140c3edd9c72c5f30c6fdbceef218650e656655ca167765287637514b5bb88514a43ac64ea35a689274d093d7ff165c714fed2302460ba34dbc68b7c37dd5347c9a2a7a700677653876375148ca2b2b592afe24c7d1f88a519338b585c9b0de0142918de056d7c8d710c49c6b3244e89c60ee39c9a675488148ca2b2b592afe24c7d1f88a519338b585c9b0de014c1ff32fabe7d025f300379c07db67f97ce38a75c6868687ba98878a988ac
BTC,00a9c7b769f0906197e26c003123e44bf68aa32b1b,5d7b1de50ab88f4be015ece042034b61ac7b616d64f809e86ea9eacbbbe4203a,0,6791400,commit_reveal_v1,release_by_seller:cd50c00fe0460cfa00486fb2a7e15819d1e11336301f1e08ca207032ba4bbe4f,002014cc596138903116db4cc2b116d159c331a8a0e1c0dd6a2cf4cd3b00c613be90,765187637514203ae1e562081ae895804a729f90eeeacda9858e14294d0d823c02bce4f82d091ac14b3e0603d46ac067765287637514203ae1e562081ae895804a729f90eeeacda9858e14646f06013e19fbf8a255228d385ffa3185befa796776538763751420c17870e2b88aaf811df513a91178b927eb8ba2147af94b280cd11a021ad26b099a838388e44773726754881420c17870e2b88aaf811df513a91178b927eb8ba214fe25e2b44c7a7e9d9d2a1b0c83655cb97a2d8c0c6868687ba98878a988ac
BTC,006d15a6fe85c34d137157abb6a53f62097b7310ad,b7e947e9e9f62eeed5d1d301c235d655e1c2c645992a109c978c2e65d1546d6a,0,372537,commit_reveal_v1,release_by_seller:7dee82eee45a31ab4400648128304ca1b2caeae8276a954e6553326f230f7eca,0020410f42834942068b79983b51cee908beb9116987e92e0b8f9a642c7f159ce937,765187637514b0e539de04f802df06326057504ae573cad4b81714bdbec4b8802d148a41c1b1fc90c57abac2c6055e67765287637514b0e539de04f802df06326057504ae573cad4b81714579d7235417028204e1118e0fc774cb2117240a4677653876375144f0e3a210c69c0ac3e43d5f3aa0c46510f88c8f014d29de79e18f584775e25e1c4e78da5ef6f7da81b675488144f0e3a210c69c0ac3e43d5f3aa0c46510f88c8f0143665de87b3edf93f34b4425a605fa2050cf3d0d86868687ba98878a988ac
BTC,002aed6497cee923c24284d90780dcfeb8f82264c7,adbbdca94180b2889b28f4fbd9d548520857867848e5b06c31e6b75f6e66ec2b,0,378900,commit_reveal_v1,release_by_seller:50a3f1f9257c3380b1008c465cd781e2b0ed1d52d517782f12c670fa9b198358,0020741062ee2c98ebdeb948e172bc00795a83280ae4c3a44656086cec7b94007c12,7651876375149f8b36863c6a9fb5e6f59b7609d9e22cba6430cd143fe5761b0a61fea374485035d6c11f63f87edcc0677652876375149f8b36863c6a9fb5e6f59b7609d9e22cba6430cd14861cfc581b40ae42bc6074d9af9258cbc2d62e22677653876375144255b0144ab4e55f2c131542b22fac39d4ca29fd14583a45104b3da68aa4343237964cd87180325987675488144255b0144ab4e55f2c131542b22fac39d4ca29fd149c7208af9f3c74e8fb104f435025708ede1ca5a86868687ba98878a988ac
LTC,0071736d7c0b2cf78873701003f41b680de6a91700,be264ca0979c7ed731a2b061258a528aeac8e9b1a6688f5c6f75cfb8d3d63125,0,121826727,commit_reveal_v1,release_by_seller:196b6ec14b16f2d8204e572d5e3be818d3393d75138e202bfc00eff4ee35c378,0020f3a41bb19905943ee14388b526b7f7a10fc0a0e4cdce26dfbe3ee76317dc6430,765187637514d533bb42ef3e2e5d712a6deede3ef0efb3387e1314e75fd564f585046d2f76109b93b20c9650ceb9cb67765287637514d533bb42ef3e2e5d712a6deede3ef0efb3387e1314acf57b9959ebc78cd0013511710b9638b3f68a7b677653876375143cdf6702fb65bbfa67ec1c53700aeb5417c7ece614cb40f654a53a73d57dce4988cb96f00f80a42e46675488143cdf6702fb65bbfa67ec1c53700aeb5417c7ece614c5da3b6c9c32c567580ce8163bfd1cfc78aea5606868687ba98878a988ac
BTC,00a9c7b769f0906197e26c003123e44bf68aa32b1b,04db97c6740ef7d95159e6138ff79352c0bad8307ebca3fcfaa0f25ee22f2413,0,4949208,commit_reveal_v1,release_by_seller:4a72b18e4e249093a54338b5acae019e357750830973f8868a3d2ec22fb28e7e,0020c976ba7f0aa3a39680ecf31234a93bd21ce96f345b91152a99613a008bb7ccbe,765187637514203ae1e562081ae895804a729f90eeeacda9858e14a932d28c7e28e41fe0de3a1bacc6af237d6892e667765287637514203ae1e562081ae895804a729f90eeeacda9858e141b0009acbcdd085dd76bc021d2f49583ad20752d67765387637514697826f34856df63c41626df3f6dd3355c36d6cb142424dbd29beb8b369181b7545e73c6b943b06af967548814697826f34856df63c41626df3f6dd3355c36d6cb147fd69fbaac4e352a9e15af48db04e70897e088e26868687ba98878a988ac
BTC,007809806926b1d1da3996d837f6668139910f84bd,16e3047ed2347e27c125f8c23a152782da8f918531bf67430db7364b6445a8c3,0,504600,commit_reveal_v1,release_by_seller:a42233838fd4b0c71731b447c9b56411c4dd5a925bcdc027fe07fd019128a29c,0020ac193e7665621b38e04569646c343e4e0669aac9c451b2ca314845c2634a6aac,765187637514ae5a493098c714abe1383b78c2f16ba6f21f946414232c70efc84e579f2c825839b4a1716c0d4ef1e667765287637514ae5a493098c714abe1383b78c2f16ba6f21f946414b625791c1c20b7cca309f87ac5e494f02bc5211a6776538763751470489a71fa9494f645413edd7fb8e70675377611147fd330bd8df73a2acb289b6e4b6516ae047194f66754881470489a71fa9494f645413edd7fb8e706753776111464951a991de69d4a59caa217cda893bca4ef98a06868687ba98878a988ac
