Crypto,Address identifier,Txid,Vout,Value,Escrow model,Revealed payload,Redeem script,Witness script
BTC,00102f3ed6b1b94d2ead46c51525c5b7f2f9338484,d391954d230f8e53ce441152cc17b7b481ec62ddf27cea916a342e2fa18d9163,1,3599,commit_reveal_v1,return_by_arbitrator:19edd0ca02c3c6a48e7597dd8d30ff154049b0eb7b7ecd5331476f1fd352929c,00200a36e3c0a3fed88b6a3df4069c8bbc3c4185e8262824e3755e59de9de430472e,7653876375a914ecbf701817700d1cb2622a2a781288574e770ecb8876a914176b69873b9779ed95be633be26ad0679995af2488ac677654876375a91493ef103c1658c44aa8ec11df7036a5df4fae032a8876a914176b69873b9779ed95be633be26ad0679995af2488ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00beabe6eb92ac2616408516ad3a3453e3dc099112,2da869b26f61a2ade417471b951b108539583734fa23a71ccfb8f86cd882fd2b,0,1000000,commit_reveal_v1,release_by_seller:df8c8675e0b93332f132f55a1bb01864a7569e4d7e078ea129f0d0e56b041db5,00207835c08ff97dd514190734b4a0896f47c5cef7e1b9a9127fb2052f3f37b63a99,765187637514f4d4b7104767ddd6e43aa78695a5cf1f5db66bce1460249978f92707c3fdcf4719e3fdb9486cb8b26d67765287637514f4d4b7104767ddd6e43aa78695a5cf1f5db66bce14cb76106503c4062a56b0db03acfef69bc7d8acc767765387637514d1862e8aae4ad6b47d5c0e783d58a28969211c4414b3e76163bfd519c36cf6c31cafae9c0915393ccb67548814d1862e8aae4ad6b47d5c0e783d58a28969211c44142a732d8ff27c4677a6fd28c5253f7acaac70d6206868687ba98878a988ac
BTC,00800994efcad45eba42e69948b9ae35901dd6f8f8,566ef51ccdfdfa84bacf976daade1dd87cd6fd66325f6c378679f6d538b03668,1,13938,commit_reveal_v1,return_by_arbitrator:37804a3f5aed08c765eb52e2e4409e3df54df971a975d5e1572e55693be7458c,0020ad1a6c2c56667971a94e0a6b7f9447f94af79529bd07063817ae471cfd6ad6cc,7653876375a9147593ace278889dbec95440467eeae08010bcd7dc8876a914e0af237c02b36cd2e603afc5201030736286efde88ac677654876375a91494a0974a787427601eca1dafcd10d33256db44968876a914e0af237c02b36cd2e603afc5201030736286efde88ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,0048c9c94da09efda4ceacedb958d18a949138ca8b,2e64fe78b688ee24c10cb3adb8ed377b47d56fc312b0959c34a9a92543cc25d7,1,5500,commit_reveal_v1,return_by_arbitrator:3c8de7b48ba1cb5b9bf486aad45f446c2331c0976688cb94ebc6b48edae6a156,0020d366c92b76ba0d51a17de8e95abb80bb46ed6a6fc5d0b8506d4d39e9a78a89db,7653876375a914514bbf3df2f15d51f161b456f7d45837af3957678876a9147d1c26a2157ca4cb2b7d34a863da2f78f8a60a5188ac677654876375a9148da662d8b9a034fc8dea2a669296c6a08117a2348876a9147d1c26a2157ca4cb2b7d34a863da2f78f8a60a5188ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00c6a3d1a46d01e3c65e96d6ea2541c7abbfdc3caa,64e4da25a5878bb2205ee2b675a5a0927839293209996ccab60c3ad0806551fc,1,4600,commit_reveal_v1,return_by_arbitrator:78950f991da5c6b8f44f4ffd9b5ade619bc40479b2e20cbef0be80851fe9d820,00202c2e119d4e73aea071274bd6d668a60e5014a669766f92f37177e64fc14f9c19,7653876375a9142fa381e206d38aa71e46131d372f51345c5b53878876a914c5cad840009bebb1c5cb265cb081e812ad7ac42e88ac677654876375a914d585ecdc9bc5240ef93ea3de8d6d6e0b2942b1cc8876a914c5cad840009bebb1c5cb265cb081e812ad7ac42e88ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,007799fd99c111008c5f5d9961e61b0b7d7ddb1b06,c22c1aa7f05932fc9e337b652654f9d22325928c1731197550935de360c9dcd4,0,89892,commit_reveal_v1,return_by_arbitrator:97f2083de6245c6f8f49bce86a98c5f834766bac8cdedd9ef6b34fc39a35268d,002045e5937e5a25bd5ddd5e7c6ed544b1b1cb9b53862658f3833456a01364494de9,765187637514682540bbd58f334a77f9940a322e621d1f2326331413bd6bc66bca6b404d2f4602963aa775c65fee9c67765287637514682540bbd58f334a77f9940a322e621d1f23263314bb94eb96c9130d4a53d60e25011b984d244031886776538763751465b38ba155b7c882af36e682370008e4f8479e171412567a16195eb7423084569c49b3585105840f246754881465b38ba155b7c882af36e682370008e4f8479e1714a8fac00e084bec1b9fbc1b59ae6716f8e796ea026868687ba98878a988ac
BTC,007799fd99c111008c5f5d9961e61b0b7d7ddb1b06,c22c1aa7f05932fc9e337b652654f9d22325928c1731197550935de360c9dcd4,1,1108,commit_reveal_v1,return_by_arbitrator:97f2083de6245c6f8f49bce86a98c5f834766bac8cdedd9ef6b34fc39a35268d,0020fbc02820db1ebece0ca6874bd6ab083c23d7265a5a5e3254a69d750d6ea0552d,7653876375a91412567a16195eb7423084569c49b3585105840f248876a91465b38ba155b7c882af36e682370008e4f8479e1788ac677654876375a914a8fac00e084bec1b9fbc1b59ae6716f8e796ea028876a91465b38ba155b7c882af36e682370008e4f8479e1788ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00f1ac863b63d5d806c8804c60273cc334495aab68,7d3d2298f687505f67ca6995ecc2afefe59cd2a6fc0a6dec194ab25d809626ec,0,874300,commit_reveal_v1,release_by_seller:33a3a6cde4d9ded86c08b61b377675dccfaa3aa6dc83701c9d9191e5b0e1147a,0020ccae65bf30ea663fd36526b8721f5e08aaaf1b78083e0da4faa952ed490a528e,7651876375149cee6e45f30cf74dd316252c33bff773e5bd8f7e14bce2108b32e0f65dfab4861bb3517bc2edb808ae677652876375149cee6e45f30cf74dd316252c33bff773e5bd8f7e143feb50aacd56f8f49e6f47890d8636127316a4666776538763751408444ade7b929001af49439c4ad4c3cdb45fc459146ea82d260bbf41a86ef7494ae4b28a2f65ffa37c6754881408444ade7b929001af49439c4ad4c3cdb45fc459149424f1e68af53e4fb854b44d548cd23138730ad96868687ba98878a988ac
BTC,00957dd696be0f97e2717b7079d67756c840adcf34,dae69febadee0bfd59cd09601b1f47c97ba23a3da22dd3e95b917ae92f97a002,1,4535,commit_reveal_v1,return_by_arbitrator:3357191e7027ca599b0dc3a77627f758e640a5155cae620993c44801b5d9bac5,0020cf535e36305513e65e54db06bed1efd3c408026bf7b2533f429992a790c4597a,7653876375a914af9156daa300f65f4190bb12ddde791dfb8c582d8876a914fcf0691145668f5671cf9597b9e9493f446020dd88ac677654876375a9141168d54d41eb14d48a9fa14be9ce0151fe48f7468876a914fcf0691145668f5671cf9597b9e9493f446020dd88ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00bb3a0b1151a841e5939bc58867a18da3c1197079,ff9122df3e0ff86adc35b2bd488405122dfb78728af2b321bdb3f677f7e3c1f2,1,13894,commit_reveal_v1,return_by_arbitrator:5a6829ca69459c156f9fcbaf3efe7c6d1d1c2e58a5c7cc4ed539c0c8197a412e,0020d9b2edf45502d1ccad74fe847ca9778e8d277b3586b871aafc7280fcc3279e54,7653876375a9146772e2f79586d7060b0daa1ba7cc5a378864817f8876a9143ce067225a9d9dbf038a1c40250f3143a52a50a388ac677654876375a914465ead818996400a6ddaa3f1a15c57bf1bb623bf8876a9143ce067225a9d9dbf038a1c40250f3143a52a50a388ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00c54597c9cf9c2afa74b4e46e3cb9621a2afe99c2,cfb395c8d84f2d4fbe28831a1a5cdc6272439175774e610cc4fa3624358ee267,1,3300,commit_reveal_v1,return_by_buyer:b5e39e9a638017df5c3db67778778c336f2e1fb7549a18c37656863f7ac4b491,0020088ab1a3d71b2a99a49b14911ec4d1d1ac2c0e3d7cb7e3b18a9a23dac392271e,7653876375a914a259df25af100469a834fb758b486fbcd87ee7238876a91440c48eaa46041b6434588cad25b9b4c52a6d29b288ac677654876375a914b622b70fd0c6119d30928a5ea2a9b61a8e72bbe18876a91440c48eaa46041b6434588cad25b9b4c52a6d29b288ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,008486cf2828953c7af7b499ebf71c532bcf37c1ce,09b3bd334877aa37d04120e68dd1678e9d49cfb7cd8786362dbdcf0fe8277842,1,22645,commit_reveal_v1,return_by_buyer:3dc282f0019512da872a96dc8b1fcfa1f033c593f79a4653c1cdd92b21ab3d6a,0020067f7ea18e3b2a9e094ed5c6d3019b9786d6ab383d6f04ef7228ad3fc72b0bdf,7653876375a914ba7472e043e7023ae4147660dda4ff5a0923b6488876a914d819a47ce7e9ab99b05a650d12f8f97cf11a59c388ac677654876375a9141156e5f9f0167ae020a3021cca9f299e4779da7b8876a914d819a47ce7e9ab99b05a650d12f8f97cf11a59c388ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,0095e8223dc2670e812f85ed1c9236507d7f0ef73d,1ba93c35db5226bc39d907eef21033dd62758560a7013a1280078d6531682012,1,1493,commit_reveal_v1,return_by_arbitrator:3071bcb0fc9632c47a29d613f4c7d479e204dd6dd8c4bad960fdc86baa538de0,00201d538276429790e10966158431badb3105ccdff5fde129958d2e51abf0685766,7653876375a914bdbcde587d0ce37973505c0f328d85b9e244deec8876a914d42e154c3a0f3a8df6ef58cf29e79643aad4bcd788ac677654876375a914897fcb1833b000dc47f145fde5f0a53e1d81b4e88876a914d42e154c3a0f3a8df6ef58cf29e79643aad4bcd788ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,0024f60862e0e93c321459d0f2a951fc78593ca8d9,b30c55c46a702903611a48621475c393e2b12dc59b793cba6c4cf32a757f12d2,1,2756,commit_reveal_v1,return_by_buyer:b99d0b3fa68089c6d2679069fce60cb617d2a05358a637d64ab2176461ba04bc,00205abb5f22c018fa3bad3c77dcfc907a4eea6d6436eb44120aaa007eec16e07456,7653876375a914661d68018d5cc6b338c89b649331056ed80493698876a9147c33c039361f4866d2c27e8bec8a16d6833af80888ac677654876375a914d7eb7a91b892bd14146cf04dcaf3a9f4cf15703c8876a9147c33c039361f4866d2c27e8bec8a16d6833af80888ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00115847eff18d6a72d5ca7a7016c40d6954843897,142bb60de52e5f31ea9fda4643b79411d30a9711726db299431db28063f340f5,0,1455300,commit_reveal_v1,release_by_seller:3b43c43ec8828815586571e7dfbeb590b372b77f1f2bb0717c2895f0b58091c5,0020cc11d6e3bef581c3cf324c4d279260dd13d3991efe04aea72fc664fd70cc8490,765187637514e6b5419a06062ded726ad820aec88b2988d7b3181490cd9b2905c337b24b156163857435ebd021ae5367765287637514e6b5419a06062ded726ad820aec88b2988d7b3181481238abf8a28afb438bb6c4a97a90ce5a534736667765387637514bdccbf3f8c828876872cf0bd4b868f7964730d3614df370e4ac516c712871ee906e633ddc8e8e54bbd67548814bdccbf3f8c828876872cf0bd4b868f7964730d36142462c6ad83c4c9328e832c19b2c56be2a1f74be26868687ba98878a988ac
BTC,004bf1c78d9e18a3af47577f2a67ad2d06e04c7244,c1a8c4bb98981c91ddd90133b1b9ae2ed27fe82b03d5d06264c15885206df539,0,935550,commit_reveal_v1,release_by_seller:664c7bf966cdd588571c4f9fafe763f55b15ea33d0b9fde6ed5329df67e41561,00209e31a2e05d132c9133c99618d5aab05f1e93aceb0816b1f3cce35c00aca4717f,765187637514ef83e683b7d58cddee740b8dc3374cbb125e6be914aba2c79122551972680f5b6861db798930a19c2f67765287637514ef83e683b7d58cddee740b8dc3374cbb125e6be9143570b4e1f59fa8e261921c85d6ef03e7c7d24ddb67765387637514c5972673820a4e94f4b4f4dc6d37e209d845883914c907b26c6bb513ced3d1a4df51cc3038def95da767548814c5972673820a4e94f4b4f4dc6d37e209d84588391464b1d9b75eab594a2072f61dc07e50b95623753c6868687ba98878a988ac
BTC,00115847eff18d6a72d5ca7a7016c40d6954843897,bc071dabda757c3a5b7ad4199fa2822c8d2a57971cc28ce85655dad5cc70221a,0,66627,commit_reveal_v1,release_by_seller:afb69c2afb0c317d952a7f6987c3d2d426d5de9629c8ef49e8f74d5aec53d629,002088cf1fc61dfb14f8d4b0a5044efdd543c202a3ab73055963d90f2be3de95cbc6,765187637514e6b5419a06062ded726ad820aec88b2988d7b31814abe4fd1eee07bf82edcf1d923e70afc0c29d15e567765287637514e6b5419a06062ded726ad820aec88b2988d7b318140733f97712b78f8149ef83493ce6d561f61a1d76677653876375149f2801d39a676e59336b2b08add5791602017e7f147e1f8a486e4c5cf9613f6eff931af6d14259a468675488149f2801d39a676e59336b2b08add5791602017e7f14b487781d583d025aee3f1e60638aaabd41f81a8b6868687ba98878a988ac
BTC,00236065c06f0704de39fa5a3794cf8327ffee67d7,162df12dd6416eb88a07def06db96d07236bab705154f66f97e463595e59ecae,1,4908,commit_reveal_v1,return_by_buyer:9052b02abc8a5aa06b62f11e6e1938a94a36cc5dc34a338c5b5a975a58e64569,00208a5eeded6b2b9d56bde02f7a8bd189f3a07e0a90e8016e647334f7d09332ffcb,7653876375a91427a0029cad2756a3ed7dc7e19f331e4f475808da8876a91465ecc354a1050eb8001a4a96e7c75fc6f42fd8b988ac677654876375a91444d2829cac96b106e2b99f5b03315f7c6ddab7718876a91465ecc354a1050eb8001a4a96e7c75fc6f42fd8b988ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,003d158b2a7b09fbd2e827fd87adfe6ac98168dd77,4abc6aaa6ac8bf536651fb736173560b99cf316c3bceed376d76e1208c25f7bd,1,2300,commit_reveal_v1,return_by_arbitrator:b19c3751ff7a00d5d0f0e2b75f7a2cb405ddf3e28ff62f426d8fb8c06c3354ac,0020d301ac0cfda895b028c0e56952fb7c6a30bafcdcb5553e8c2aeb59c9d237d359,7653876375a914f609ec83ed21c8a601a3c30b9e2c56bee5f64c2f8876a91465a4a05883a4c5114a7e801feab2d084fd9f6c6988ac677654876375a9146098006c030084a3ff2ea946d4a629337e3850c88876a91465a4a05883a4c5114a7e801feab2d084fd9f6c6988ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
